#1.0000E+01 = radius(micron) Astronomical silicate, smoothed UV      
#w(micron)  Q_abs     Q_sca     g=<cos>
1.000E+03 1.397E-03 2.533E-05 2.00E-03
9.441E+02 1.570E-03 3.191E-05 2.24E-03
8.913E+02 1.765E-03 4.019E-05 2.51E-03
8.414E+02 1.984E-03 5.062E-05 2.82E-03
7.943E+02 2.232E-03 6.376E-05 3.17E-03
7.499E+02 2.510E-03 8.032E-05 3.55E-03
7.079E+02 2.825E-03 1.012E-04 3.99E-03
6.683E+02 3.179E-03 1.275E-04 4.47E-03
6.310E+02 3.580E-03 1.607E-04 5.02E-03
5.957E+02 4.032E-03 2.025E-04 5.64E-03
5.623E+02 4.545E-03 2.552E-04 6.33E-03
5.309E+02 5.125E-03 3.217E-04 7.10E-03
5.012E+02 5.782E-03 4.057E-04 7.97E-03
4.732E+02 6.529E-03 5.116E-04 8.95E-03
4.467E+02 7.378E-03 6.453E-04 1.00E-02
4.217E+02 8.345E-03 8.141E-04 1.13E-02
3.981E+02 9.447E-03 1.027E-03 1.27E-02
3.758E+02 1.071E-02 1.297E-03 1.42E-02
3.548E+02 1.215E-02 1.637E-03 1.60E-02
3.350E+02 1.380E-02 2.068E-03 1.79E-02
3.162E+02 1.570E-02 2.614E-03 2.01E-02
2.985E+02 1.790E-02 3.304E-03 2.26E-02
2.818E+02 2.044E-02 4.180E-03 2.54E-02
2.661E+02 2.340E-02 5.290E-03 2.86E-02
2.512E+02 2.685E-02 6.700E-03 3.21E-02
2.371E+02 3.089E-02 8.491E-03 3.61E-02
2.239E+02 3.564E-02 1.077E-02 4.06E-02
2.113E+02 4.126E-02 1.368E-02 4.57E-02
1.995E+02 4.795E-02 1.738E-02 5.15E-02
1.884E+02 5.598E-02 2.212E-02 5.80E-02
1.778E+02 6.567E-02 2.818E-02 6.54E-02
1.679E+02 7.747E-02 3.596E-02 7.37E-02
1.585E+02 9.197E-02 4.597E-02 8.32E-02
1.496E+02 1.100E-01 5.887E-02 9.41E-02
1.413E+02 1.325E-01 7.554E-02 1.06E-01
1.334E+02 1.612E-01 9.716E-02 1.20E-01
1.259E+02 1.982E-01 1.253E-01 1.36E-01
1.189E+02 2.464E-01 1.620E-01 1.55E-01
1.122E+02 3.105E-01 2.102E-01 1.75E-01
1.059E+02 3.969E-01 2.737E-01 1.99E-01
1.000E+02 5.140E-01 3.574E-01 2.23E-01
9.441E+01 6.738E-01 4.684E-01 2.49E-01
