#1.0000E+01 = radius(micron) Astronomical silicate, smoothed UV      
#w(micron)  Q_abs     Q_sca     g=<cos>
8.913E+01 8.862E-01 6.147E-01 2.71E-01
8.414E+01 1.152E+00 8.048E-01 2.85E-01
7.943E+01 1.441E+00 1.040E+00 2.82E-01
7.499E+01 1.689E+00 1.306E+00 2.63E-01
7.079E+01 1.835E+00 1.571E+00 2.35E-01
6.683E+01 1.879E+00 1.793E+00 2.12E-01
6.310E+01 1.861E+00 1.936E+00 2.02E-01
5.957E+01 1.816E+00 1.981E+00 2.06E-01
5.623E+01 1.764E+00 1.936E+00 2.22E-01
5.309E+01 1.713E+00 1.835E+00 2.47E-01
5.012E+01 1.667E+00 1.716E+00 2.81E-01
4.732E+01 1.632E+00 1.608E+00 3.23E-01
4.467E+01 1.611E+00 1.530E+00 3.71E-01
4.217E+01 1.604E+00 1.486E+00 4.22E-01
3.981E+01 1.608E+00 1.471E+00 4.71E-01
3.758E+01 1.612E+00 1.475E+00 5.12E-01
3.548E+01 1.602E+00 1.485E+00 5.42E-01
3.350E+01 1.576E+00 1.490E+00 5.63E-01
3.162E+01 1.542E+00 1.485E+00 5.79E-01
2.985E+01 1.508E+00 1.473E+00 5.95E-01
2.818E+01 1.485E+00 1.457E+00 6.14E-01
2.661E+01 1.473E+00 1.445E+00 6.36E-01
2.512E+01 1.465E+00 1.439E+00 6.58E-01
2.371E+01 1.456E+00 1.432E+00 6.78E-01
2.239E+01 1.439E+00 1.424E+00 6.95E-01
2.113E+01 1.423E+00 1.407E+00 7.10E-01
1.995E+01 1.411E+00 1.383E+00 7.27E-01
1.884E+01 1.411E+00 1.338E+00 7.50E-01
1.778E+01 1.412E+00 1.286E+00 7.77E-01
1.679E+01 1.412E+00 1.254E+00 8.01E-01
1.585E+01 1.413E+00 1.251E+00 8.17E-01
1.496E+01 1.410E+00 1.248E+00 8.22E-01
1.413E+01 1.384E+00 1.258E+00 8.21E-01
1.334E+01 1.322E+00 1.308E+00 8.10E-01
1.259E+01 1.277E+00 1.335E+00 8.02E-01
1.189E+01 1.246E+00 1.354E+00 7.99E-01
1.122E+01 1.224E+00 1.361E+00 8.02E-01
1.059E+01 1.202E+00 1.365E+00 8.06E-01
1.000E+01 1.187E+00 1.326E+00 8.22E-01
9.441E+00 1.155E+00 1.272E+00 8.39E-01
8.913E+00 1.139E+00 1.113E+00 8.83E-01
8.414E+00 1.149E+00 9.666E-01 9.22E-01
7.943E+00 1.141E+00 9.821E-01 9.48E-01
7.499E+00 1.090E+00 1.738E+00 9.19E-01
7.079E+00 1.090E+00 1.228E+00 8.39E-01
6.683E+00 1.114E+00 1.159E+00 8.48E-01
6.310E+00 1.113E+00 1.392E+00 8.90E-01
5.957E+00 1.091E+00 1.513E+00 9.06E-01
5.623E+00 1.068E+00 1.409E+00 9.01E-01
5.309E+00 1.051E+00 1.239E+00 8.86E-01
5.012E+00 1.038E+00 1.211E+00 8.80E-01
4.732E+00 1.030E+00 1.324E+00 8.89E-01
4.467E+00 1.028E+00 1.404E+00 8.97E-01
4.217E+00 1.035E+00 1.336E+00 8.98E-01
3.981E+00 1.040E+00 1.218E+00 8.96E-01
3.758E+00 1.033E+00 1.204E+00 9.00E-01
3.548E+00 1.029E+00 1.280E+00 9.10E-01
3.350E+00 1.027E+00 1.306E+00 9.14E-01
3.162E+00 1.022E+00 1.227E+00 9.10E-01
2.985E+00 1.017E+00 1.194E+00 9.09E-01
2.818E+00 1.017E+00 1.250E+00 9.16E-01
2.661E+00 1.016E+00 1.246E+00 9.19E-01
2.512E+00 1.012E+00 1.188E+00 9.17E-01
2.371E+00 1.009E+00 1.211E+00 9.21E-01
2.239E+00 1.005E+00 1.225E+00 9.23E-01
2.113E+00 1.002E+00 1.181E+00 9.22E-01
1.995E+00 9.998E-01 1.204E+00 9.25E-01
1.884E+00 9.961E-01 1.194E+00 9.26E-01
1.778E+00 9.927E-01 1.180E+00 9.26E-01
1.679E+00 9.897E-01 1.193E+00 9.28E-01
1.585E+00 9.865E-01 1.172E+00 9.28E-01
1.496E+00 9.831E-01 1.185E+00 9.30E-01
1.413E+00 9.797E-01 1.170E+00 9.30E-01
1.334E+00 9.762E-01 1.176E+00 9.31E-01
1.259E+00 9.727E-01 1.170E+00 9.31E-01
1.189E+00 9.692E-01 1.167E+00 9.31E-01
1.122E+00 9.658E-01 1.170E+00 9.32E-01
1.059E+00 9.624E-01 1.165E+00 9.32E-01
1.000E+00 9.590E-01 1.163E+00 9.32E-01
9.441E-01 9.557E-01 1.163E+00 9.32E-01
8.913E-01 9.525E-01 1.163E+00 9.33E-01
8.414E-01 9.494E-01 1.161E+00 9.33E-01
7.943E-01 9.464E-01 1.160E+00 9.33E-01
7.499E-01 9.435E-01 1.159E+00 9.33E-01
7.079E-01 9.407E-01 1.158E+00 9.33E-01
6.683E-01 9.380E-01 1.157E+00 9.33E-01
6.310E-01 9.353E-01 1.156E+00 9.33E-01
5.957E-01 9.328E-01 1.155E+00 9.33E-01
5.623E-01 9.304E-01 1.154E+00 9.33E-01
5.309E-01 9.280E-01 1.153E+00 9.33E-01
5.012E-01 9.256E-01 1.153E+00 9.33E-01
4.732E-01 9.234E-01 1.152E+00 9.33E-01
4.467E-01 9.211E-01 1.152E+00 9.32E-01
4.217E-01 9.189E-01 1.151E+00 9.32E-01
3.981E-01 9.167E-01 1.151E+00 9.32E-01
3.758E-01 9.145E-01 1.150E+00 9.31E-01
3.548E-01 9.122E-01 1.150E+00 9.31E-01
3.350E-01 9.100E-01 1.150E+00 9.30E-01
3.162E-01 9.076E-01 1.150E+00 9.29E-01
2.985E-01 9.051E-01 1.151E+00 9.28E-01
2.818E-01 9.024E-01 1.151E+00 9.27E-01
2.661E-01 8.996E-01 1.152E+00 9.26E-01
2.512E-01 8.963E-01 1.153E+00 9.24E-01
2.371E-01 8.926E-01 1.155E+00 9.22E-01
2.239E-01 8.881E-01 1.158E+00 9.19E-01
2.113E-01 8.822E-01 1.162E+00 9.15E-01
1.995E-01 8.756E-01 1.167E+00 9.10E-01
1.884E-01 8.679E-01 1.173E+00 9.05E-01
1.778E-01 8.590E-01 1.181E+00 8.98E-01
1.679E-01 8.483E-01 1.190E+00 8.89E-01
1.585E-01 8.361E-01 1.201E+00 8.80E-01
1.496E-01 8.253E-01 1.211E+00 8.72E-01
1.413E-01 8.232E-01 1.212E+00 8.72E-01
1.334E-01 8.235E-01 1.210E+00 8.74E-01
1.259E-01 8.209E-01 1.212E+00 8.73E-01
1.189E-01 8.051E-01 1.195E+00 8.69E-01
1.122E-01 7.991E-01 1.201E+00 8.65E-01
1.059E-01 7.892E-01 1.211E+00 8.59E-01
1.000E-01 7.793E-01 1.221E+00 8.54E-01
9.441E-02 7.753E-01 1.225E+00 8.53E-01
8.913E-02 7.827E-01 1.217E+00 8.61E-01
8.414E-02 7.796E-01 1.220E+00 8.59E-01
7.943E-02 7.646E-01 1.235E+00 8.51E-01
7.499E-02 7.472E-01 1.253E+00 8.43E-01
7.079E-02 7.342E-01 1.266E+00 8.38E-01
6.683E-02 7.177E-01 1.282E+00 8.33E-01
6.310E-02 7.047E-01 1.314E+00 8.33E-01
5.957E-02 7.299E-01 1.270E+00 8.62E-01
5.623E-02 8.066E-01 1.193E+00 9.12E-01
5.309E-02 8.363E-01 1.164E+00 9.31E-01
5.012E-02 8.553E-01 1.145E+00 9.42E-01
4.732E-02 8.684E-01 1.132E+00 9.50E-01
4.467E-02 8.783E-01 1.122E+00 9.56E-01
4.217E-02 8.861E-01 1.114E+00 9.61E-01
3.981E-02 8.927E-01 1.107E+00 9.65E-01
3.758E-02 8.985E-01 1.102E+00 9.68E-01
3.548E-02 9.036E-01 1.096E+00 9.71E-01
3.350E-02 9.084E-01 1.092E+00 9.74E-01
3.162E-02 9.130E-01 1.087E+00 9.77E-01
2.985E-02 9.174E-01 1.083E+00 9.79E-01
2.818E-02 9.218E-01 1.078E+00 9.81E-01
2.661E-02 9.263E-01 1.074E+00 9.83E-01
2.512E-02 9.309E-01 1.069E+00 9.86E-01
2.371E-02 9.360E-01 1.064E+00 9.88E-01
2.239E-02 9.413E-01 1.059E+00 9.89E-01
2.113E-02 9.453E-01 1.055E+00 9.91E-01
1.995E-02 9.503E-01 1.050E+00 9.92E-01
1.884E-02 9.552E-01 1.045E+00 9.93E-01
1.778E-02 9.559E-01 1.044E+00 9.94E-01
1.679E-02 9.583E-01 1.042E+00 9.94E-01
1.585E-02 9.610E-01 1.039E+00 9.95E-01
1.496E-02 9.637E-01 1.036E+00 9.96E-01
1.413E-02 9.666E-01 1.033E+00 9.96E-01
1.334E-02 9.705E-01 1.030E+00 9.97E-01
1.259E-02 9.720E-01 1.028E+00 9.97E-01
1.189E-02 9.733E-01 1.027E+00 9.98E-01
1.122E-02 9.763E-01 1.024E+00 9.98E-01
1.059E-02 9.817E-01 1.018E+00 9.99E-01
1.000E-02 9.790E-01 1.021E+00 9.98E-01
9.441E-03 9.791E-01 1.021E+00 9.99E-01
8.913E-03 9.800E-01 1.020E+00 9.99E-01
8.414E-03 9.810E-01 1.019E+00 9.99E-01
7.943E-03 9.822E-01 1.018E+00 9.99E-01
7.499E-03 9.838E-01 1.016E+00 9.99E-01
7.079E-03 9.848E-01 1.015E+00 9.99E-01
6.683E-03 9.856E-01 1.014E+00 9.99E-01
6.310E-03 9.866E-01 1.013E+00 9.99E-01
5.957E-03 9.876E-01 1.012E+00 1.00E+00
5.623E-03 9.885E-01 1.012E+00 1.00E+00
5.309E-03 9.893E-01 1.011E+00 1.00E+00
5.012E-03 9.899E-01 1.010E+00 1.00E+00
4.732E-03 9.904E-01 1.010E+00 1.00E+00
4.467E-03 9.908E-01 1.009E+00 1.00E+00
4.217E-03 9.911E-01 1.009E+00 1.00E+00
3.981E-03 9.913E-01 1.009E+00 1.00E+00
3.758E-03 9.915E-01 1.008E+00 1.00E+00
3.548E-03 9.917E-01 1.008E+00 1.00E+00
3.350E-03 9.919E-01 1.008E+00 1.00E+00
3.162E-03 9.922E-01 1.008E+00 1.00E+00
2.985E-03 9.928E-01 1.007E+00 1.00E+00
2.818E-03 9.938E-01 1.006E+00 1.00E+00
2.661E-03 9.950E-01 1.005E+00 1.00E+00
2.512E-03 9.960E-01 1.004E+00 1.00E+00
2.371E-03 9.970E-01 1.003E+00 1.00E+00
2.239E-03 9.991E-01 1.001E+00 1.00E+00
2.113E-03 9.991E-01 1.001E+00 1.00E+00
1.995E-03 9.990E-01 1.001E+00 1.00E+00
1.884E-03 9.990E-01 1.001E+00 1.00E+00
1.778E-03 9.989E-01 1.001E+00 1.00E+00
1.679E-03 9.988E-01 1.001E+00 1.00E+00
1.585E-03 9.996E-01 1.000E+00 1.00E+00
1.496E-03 9.995E-01 1.001E+00 1.00E+00
1.413E-03 9.995E-01 1.001E+00 1.00E+00
1.334E-03 9.993E-01 1.001E+00 1.00E+00
1.259E-03 9.990E-01 1.001E+00 1.00E+00
1.189E-03 9.987E-01 1.001E+00 1.00E+00
1.122E-03 9.982E-01 1.002E+00 1.00E+00
1.059E-03 9.976E-01 1.002E+00 1.00E+00
1.000E-03 9.967E-01 1.003E+00 1.00E+00
