#1.0000E+00 = radius(micron) Astronomical silicate, smoothed UV      
#w(micron)  Q_abs     Q_sca     g=<cos>
1.585E+00 6.615E-01 3.150E+00 6.69E-01
1.496E+00 5.941E-01 2.732E+00 6.62E-01
1.413E+00 6.597E-01 2.241E+00 6.08E-01
1.334E+00 7.287E-01 2.130E+00 5.94E-01
1.259E+00 6.532E-01 1.751E+00 5.56E-01
1.189E+00 7.941E-01 1.456E+00 4.98E-01
1.122E+00 7.333E-01 1.413E+00 5.35E-01
1.059E+00 7.862E-01 1.229E+00 5.16E-01
1.000E+00 7.829E-01 1.404E+00 6.21E-01
9.441E-01 8.240E-01 1.453E+00 6.86E-01
8.913E-01 8.154E-01 1.760E+00 7.48E-01
8.414E-01 8.408E-01 1.843E+00 8.15E-01
7.943E-01 8.151E-01 2.010E+00 8.29E-01
7.499E-01 8.326E-01 2.000E+00 8.45E-01
7.079E-01 8.332E-01 1.830E+00 8.44E-01
6.683E-01 8.382E-01 1.622E+00 8.27E-01
6.310E-01 8.472E-01 1.437E+00 8.06E-01
5.957E-01 8.664E-01 1.339E+00 7.94E-01
5.623E-01 8.851E-01 1.370E+00 8.12E-01
5.309E-01 8.999E-01 1.505E+00 8.35E-01
5.012E-01 9.125E-01 1.616E+00 8.53E-01
4.732E-01 9.228E-01 1.582E+00 8.61E-01
4.467E-01 9.278E-01 1.417E+00 8.58E-01
4.217E-01 9.272E-01 1.280E+00 8.56E-01
3.981E-01 9.331E-01 1.300E+00 8.69E-01
3.758E-01 9.481E-01 1.421E+00 8.87E-01
3.548E-01 9.426E-01 1.412E+00 8.88E-01
3.350E-01 9.577E-01 1.266E+00 8.80E-01
3.162E-01 9.550E-01 1.266E+00 8.85E-01
2.985E-01 9.587E-01 1.355E+00 8.99E-01
2.818E-01 9.623E-01 1.259E+00 8.95E-01
2.661E-01 9.623E-01 1.259E+00 8.98E-01
2.512E-01 9.652E-01 1.283E+00 9.02E-01
2.371E-01 9.636E-01 1.235E+00 9.00E-01
2.239E-01 9.615E-01 1.246E+00 9.01E-01
2.113E-01 9.746E-01 1.244E+00 9.06E-01
1.995E-01 9.811E-01 1.216E+00 9.06E-01
1.884E-01 9.712E-01 1.214E+00 9.02E-01
1.778E-01 9.569E-01 1.221E+00 8.96E-01
1.679E-01 9.413E-01 1.230E+00 8.88E-01
1.585E-01 9.248E-01 1.241E+00 8.79E-01
1.496E-01 9.106E-01 1.252E+00 8.72E-01
1.413E-01 9.055E-01 1.253E+00 8.72E-01
1.334E-01 9.023E-01 1.251E+00 8.74E-01
1.259E-01 8.963E-01 1.252E+00 8.74E-01
1.189E-01 8.884E-01 1.255E+00 8.72E-01
1.122E-01 8.783E-01 1.261E+00 8.68E-01
1.059E-01 8.644E-01 1.271E+00 8.62E-01
1.000E-01 8.496E-01 1.282E+00 8.58E-01
9.441E-02 8.401E-01 1.286E+00 8.57E-01
8.913E-02 8.415E-01 1.276E+00 8.65E-01
8.414E-02 8.352E-01 1.278E+00 8.63E-01
7.943E-02 8.151E-01 1.294E+00 8.56E-01
7.499E-02 7.912E-01 1.311E+00 8.48E-01
7.079E-02 7.717E-01 1.324E+00 8.43E-01
6.683E-02 7.484E-01 1.340E+00 8.38E-01
6.310E-02 7.251E-01 1.354E+00 8.37E-01
5.957E-02 7.460E-01 1.322E+00 8.66E-01
5.623E-02 8.226E-01 1.237E+00 9.14E-01
5.309E-02 8.522E-01 1.202E+00 9.32E-01
5.012E-02 8.708E-01 1.180E+00 9.43E-01
4.732E-02 8.833E-01 1.164E+00 9.50E-01
4.467E-02 8.924E-01 1.152E+00 9.56E-01
4.217E-02 8.993E-01 1.142E+00 9.61E-01
3.981E-02 9.048E-01 1.134E+00 9.65E-01
3.758E-02 9.095E-01 1.127E+00 9.68E-01
3.548E-02 9.136E-01 1.120E+00 9.71E-01
3.350E-02 9.173E-01 1.114E+00 9.74E-01
3.162E-02 9.208E-01 1.108E+00 9.77E-01
2.985E-02 9.242E-01 1.103E+00 9.79E-01
2.818E-02 9.276E-01 1.097E+00 9.81E-01
2.661E-02 9.311E-01 1.091E+00 9.83E-01
2.512E-02 9.348E-01 1.086E+00 9.85E-01
2.371E-02 9.391E-01 1.079E+00 9.87E-01
2.239E-02 9.441E-01 1.072E+00 9.89E-01
2.113E-02 9.474E-01 1.067E+00 9.90E-01
1.995E-02 9.521E-01 1.061E+00 9.92E-01
1.884E-02 9.576E-01 1.055E+00 9.93E-01
1.778E-02 9.572E-01 1.054E+00 9.93E-01
1.679E-02 9.589E-01 1.051E+00 9.94E-01
1.585E-02 9.610E-01 1.047E+00 9.95E-01
1.496E-02 9.632E-01 1.044E+00 9.96E-01
1.413E-02 9.656E-01 1.040E+00 9.96E-01
1.334E-02 9.697E-01 1.035E+00 9.97E-01
1.259E-02 9.709E-01 1.033E+00 9.97E-01
1.189E-02 9.714E-01 1.031E+00 9.98E-01
1.122E-02 9.741E-01 1.027E+00 9.98E-01
1.059E-02 9.822E-01 1.019E+00 9.98E-01
1.000E-02 9.777E-01 1.024E+00 9.98E-01
9.441E-03 9.770E-01 1.024E+00 9.98E-01
8.913E-03 9.771E-01 1.023E+00 9.99E-01
8.414E-03 9.774E-01 1.022E+00 9.99E-01
7.943E-03 9.779E-01 1.020E+00 9.99E-01
7.499E-03 9.789E-01 1.018E+00 9.99E-01
7.079E-03 9.798E-01 1.017E+00 9.99E-01
6.683E-03 9.798E-01 1.016E+00 9.99E-01
6.310E-03 9.799E-01 1.016E+00 9.99E-01
5.957E-03 9.827E-01 1.017E+00 9.99E-01
5.623E-03 9.826E-01 1.017E+00 1.00E+00
5.309E-03 9.821E-01 1.018E+00 1.00E+00
5.012E-03 9.813E-01 1.019E+00 1.00E+00
4.732E-03 9.801E-01 1.020E+00 1.00E+00
4.467E-03 9.783E-01 1.022E+00 9.99E-01
4.217E-03 9.759E-01 1.024E+00 9.99E-01
3.981E-03 9.727E-01 1.027E+00 9.99E-01
3.758E-03 9.684E-01 1.031E+00 9.99E-01
3.548E-03 9.627E-01 1.037E+00 9.99E-01
3.350E-03 9.553E-01 1.044E+00 9.99E-01
3.162E-03 9.458E-01 1.054E+00 9.99E-01
2.985E-03 9.339E-01 1.066E+00 9.99E-01
2.818E-03 9.181E-01 1.081E+00 9.99E-01
2.661E-03 8.978E-01 1.101E+00 1.00E+00
2.512E-03 8.738E-01 1.125E+00 1.00E+00
2.371E-03 8.456E-01 1.150E+00 1.00E+00
2.239E-03 9.657E-01 1.032E+00 1.00E+00
2.113E-03 9.578E-01 1.040E+00 1.00E+00
1.995E-03 9.473E-01 1.051E+00 1.00E+00
1.884E-03 9.338E-01 1.064E+00 1.00E+00
1.778E-03 9.165E-01 1.080E+00 1.00E+00
1.679E-03 8.948E-01 1.097E+00 1.00E+00
1.585E-03 9.552E-01 1.041E+00 1.00E+00
1.496E-03 9.424E-01 1.054E+00 1.00E+00
1.413E-03 9.393E-01 1.057E+00 1.00E+00
1.334E-03 9.227E-01 1.073E+00 1.00E+00
1.259E-03 9.019E-01 1.093E+00 1.00E+00
1.189E-03 8.764E-01 1.117E+00 1.00E+00
1.122E-03 8.447E-01 1.147E+00 1.00E+00
1.059E-03 8.078E-01 1.182E+00 1.00E+00
1.000E-03 7.651E-01 1.222E+00 1.00E+00
