#1.0000E-01 = radius(micron) Astronomical silicate, smoothed UV      
#w(micron)  Q_abs     Q_sca     g=<cos>
1.585E+00 2.551E-02 9.207E-03 3.33E-02
1.496E+00 2.711E-02 1.163E-02 3.73E-02
1.413E+00 2.887E-02 1.469E-02 4.18E-02
1.334E+00 3.078E-02 1.855E-02 4.69E-02
1.259E+00 3.289E-02 2.342E-02 5.25E-02
1.189E+00 3.530E-02 2.958E-02 5.89E-02
1.122E+00 3.798E-02 3.735E-02 6.60E-02
1.059E+00 4.093E-02 4.715E-02 7.40E-02
1.000E+00 4.420E-02 5.950E-02 8.30E-02
9.441E-01 4.785E-02 7.501E-02 9.32E-02
8.913E-01 5.189E-02 9.450E-02 1.05E-01
8.414E-01 5.635E-02 1.189E-01 1.18E-01
7.943E-01 6.130E-02 1.494E-01 1.32E-01
7.499E-01 6.679E-02 1.871E-01 1.49E-01
7.079E-01 7.289E-02 2.334E-01 1.69E-01
6.683E-01 7.966E-02 2.899E-01 1.91E-01
6.310E-01 8.726E-02 3.578E-01 2.18E-01
5.957E-01 9.583E-02 4.385E-01 2.49E-01
5.623E-01 1.056E-01 5.329E-01 2.85E-01
5.309E-01 1.171E-01 6.422E-01 3.29E-01
5.012E-01 1.311E-01 7.692E-01 3.80E-01
4.732E-01 1.487E-01 9.199E-01 4.39E-01
4.467E-01 1.714E-01 1.108E+00 5.00E-01
4.217E-01 1.999E-01 1.354E+00 5.56E-01
3.981E-01 2.312E-01 1.677E+00 5.90E-01
3.758E-01 2.557E-01 2.047E+00 5.97E-01
3.548E-01 2.631E-01 2.367E+00 5.83E-01
3.350E-01 2.573E-01 2.559E+00 5.68E-01
3.162E-01 2.567E-01 2.671E+00 5.68E-01
2.985E-01 2.807E-01 2.835E+00 5.92E-01
2.818E-01 3.424E-01 3.208E+00 6.36E-01
2.661E-01 4.089E-01 3.784E+00 6.75E-01
2.512E-01 3.972E-01 3.995E+00 6.77E-01
2.371E-01 3.658E-01 3.747E+00 6.40E-01
2.239E-01 4.223E-01 3.615E+00 5.90E-01
2.113E-01 6.413E-01 3.831E+00 6.18E-01
1.995E-01 7.172E-01 2.858E+00 6.11E-01
1.884E-01 1.052E+00 1.866E+00 5.15E-01
1.778E-01 1.291E+00 1.309E+00 5.85E-01
1.679E-01 1.428E+00 1.094E+00 7.20E-01
1.585E-01 1.423E+00 1.215E+00 7.96E-01
1.496E-01 1.387E+00 1.286E+00 8.06E-01
1.413E-01 1.358E+00 1.290E+00 8.10E-01
1.334E-01 1.335E+00 1.288E+00 8.17E-01
1.259E-01 1.310E+00 1.289E+00 8.21E-01
1.189E-01 1.286E+00 1.294E+00 8.24E-01
1.122E-01 1.259E+00 1.302E+00 8.24E-01
1.059E-01 1.231E+00 1.316E+00 8.23E-01
1.000E-01 1.202E+00 1.328E+00 8.22E-01
9.441E-02 1.178E+00 1.328E+00 8.25E-01
8.913E-02 1.159E+00 1.306E+00 8.35E-01
8.414E-02 1.140E+00 1.313E+00 8.36E-01
7.943E-02 1.103E+00 1.334E+00 8.32E-01
7.499E-02 1.056E+00 1.355E+00 8.26E-01
7.079E-02 1.006E+00 1.365E+00 8.24E-01
6.683E-02 9.458E-01 1.379E+00 8.21E-01
6.310E-02 8.730E-01 1.385E+00 8.21E-01
5.957E-02 8.380E-01 1.322E+00 8.50E-01
5.623E-02 8.998E-01 1.191E+00 8.96E-01
5.309E-02 9.229E-01 1.139E+00 9.15E-01
5.012E-02 9.352E-01 1.106E+00 9.27E-01
4.732E-02 9.411E-01 1.084E+00 9.35E-01
4.467E-02 9.434E-01 1.068E+00 9.42E-01
4.217E-02 9.432E-01 1.056E+00 9.48E-01
3.981E-02 9.416E-01 1.047E+00 9.53E-01
3.758E-02 9.390E-01 1.040E+00 9.57E-01
3.548E-02 9.357E-01 1.035E+00 9.61E-01
3.350E-02 9.321E-01 1.031E+00 9.65E-01
3.162E-02 9.282E-01 1.027E+00 9.68E-01
2.985E-02 9.242E-01 1.025E+00 9.72E-01
2.818E-02 9.202E-01 1.024E+00 9.75E-01
2.661E-02 9.163E-01 1.024E+00 9.77E-01
2.512E-02 9.125E-01 1.024E+00 9.80E-01
2.371E-02 9.092E-01 1.023E+00 9.83E-01
2.239E-02 9.106E-01 1.016E+00 9.85E-01
2.113E-02 9.079E-01 1.017E+00 9.87E-01
1.995E-02 9.067E-01 1.009E+00 9.89E-01
1.884E-02 9.165E-01 9.859E-01 9.90E-01
1.778E-02 9.087E-01 1.007E+00 9.91E-01
1.679E-02 9.036E-01 1.016E+00 9.92E-01
1.585E-02 8.988E-01 1.022E+00 9.93E-01
1.496E-02 8.937E-01 1.026E+00 9.94E-01
1.413E-02 8.879E-01 1.026E+00 9.95E-01
1.334E-02 8.902E-01 9.957E-01 9.95E-01
1.259E-02 8.880E-01 1.001E+00 9.96E-01
1.189E-02 8.776E-01 1.020E+00 9.96E-01
1.122E-02 8.677E-01 9.965E-01 9.97E-01
1.059E-02 9.068E-01 8.660E-01 9.97E-01
1.000E-02 8.907E-01 9.741E-01 9.97E-01
9.441E-03 8.773E-01 1.014E+00 9.98E-01
8.913E-03 8.628E-01 1.039E+00 9.98E-01
8.414E-03 8.463E-01 1.058E+00 9.98E-01
7.943E-03 8.276E-01 1.070E+00 9.98E-01
7.499E-03 8.068E-01 1.060E+00 9.99E-01
7.079E-03 8.061E-01 1.058E+00 9.99E-01
6.683E-03 7.818E-01 1.077E+00 9.99E-01
6.310E-03 7.550E-01 1.085E+00 9.99E-01
5.957E-03 7.264E-01 1.085E+00 9.99E-01
5.623E-03 6.947E-01 1.077E+00 9.99E-01
5.309E-03 6.615E-01 1.060E+00 9.99E-01
5.012E-03 6.271E-01 1.036E+00 1.00E+00
4.732E-03 5.914E-01 1.006E+00 1.00E+00
4.467E-03 5.548E-01 9.700E-01 1.00E+00
4.217E-03 5.178E-01 9.277E-01 1.00E+00
3.981E-03 4.808E-01 8.811E-01 1.00E+00
3.758E-03 4.441E-01 8.303E-01 1.00E+00
3.548E-03 4.081E-01 7.758E-01 1.00E+00
3.350E-03 3.731E-01 7.191E-01 1.00E+00
3.162E-03 3.395E-01 6.605E-01 1.00E+00
2.985E-03 3.081E-01 6.028E-01 1.00E+00
2.818E-03 2.771E-01 5.400E-01 1.00E+00
2.661E-03 2.472E-01 4.754E-01 1.00E+00
2.512E-03 2.206E-01 3.985E-01 1.00E+00
2.371E-03 1.962E-01 2.441E-01 1.00E+00
2.239E-03 3.982E-01 2.944E-01 1.00E+00
2.113E-03 3.655E-01 3.090E-01 1.00E+00
1.995E-03 3.326E-01 3.038E-01 1.00E+00
1.884E-03 3.006E-01 2.805E-01 1.00E+00
1.778E-03 2.698E-01 2.464E-01 1.00E+00
1.679E-03 2.407E-01 1.577E-01 1.00E+00
1.585E-03 3.535E-01 2.231E-01 1.00E+00
1.496E-03 3.181E-01 2.144E-01 1.00E+00
1.413E-03 3.107E-01 2.199E-01 1.00E+00
1.334E-03 2.788E-01 2.130E-01 1.00E+00
1.259E-03 2.490E-01 2.007E-01 1.00E+00
1.189E-03 2.213E-01 1.870E-01 1.00E+00
1.122E-03 1.948E-01 1.722E-01 1.00E+00
1.059E-03 1.709E-01 1.568E-01 1.00E+00
1.000E-03 1.490E-01 1.396E-01 1.00E+00
